"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","EDUTRY","25_34","PC_AGE","A","1991",35.707539,
"AUS","EDUTRY","25_34","PC_AGE","A","1993",22.836517,
"AUS","EDUTRY","25_34","PC_AGE","A","1994",23.624947,
"AUS","EDUTRY","25_34","PC_AGE","A","1995",24.697142,
"AUS","EDUTRY","25_34","PC_AGE","A","1997",25.702168,
"AUS","EDUTRY","25_34","PC_AGE","A","1998",28.139578,
"AUS","EDUTRY","25_34","PC_AGE","A","1999",28.981586,
"AUS","EDUTRY","25_34","PC_AGE","A","2000",31.372517,
"AUS","EDUTRY","25_34","PC_AGE","A","2001",33.511932,
"AUS","EDUTRY","25_34","PC_AGE","A","2002",35.797337,
"AUS","EDUTRY","25_34","PC_AGE","A","2003",36.322815,
"AUS","EDUTRY","25_34","PC_AGE","A","2004",36.168247,
"AUS","EDUTRY","25_34","PC_AGE","A","2005",38.098312,
"AUS","EDUTRY","25_34","PC_AGE","A","2006",38.804123,
"AUS","EDUTRY","25_34","PC_AGE","A","2007",40.728859,
"AUS","EDUTRY","25_34","PC_AGE","A","2008",41.99683,
"AUS","EDUTRY","25_34","PC_AGE","A","2009",44.778488,
"AUS","EDUTRY","25_34","PC_AGE","A","2010",44.374836,
"AUS","EDUTRY","25_34","PC_AGE","A","2011",44.615528,
"AUS","EDUTRY","25_34","PC_AGE","A","2012",47.231079,
"AUS","EDUTRY","25_34","PC_AGE","A","2013",45.745182,
"AUS","EDUTRY","25_34","PC_AGE","A","2014",48.13139,
"AUS","EDUTRY","25_34","PC_AGE","A","2015",48.466274,
"AUS","EDUTRY","25_34","PC_AGE","A","2016",49.30521,
"AUS","EDUTRY","25_34","PC_AGE","A","2017",51.989063,
"AUS","EDUTRY","25_34","PC_AGE","A","2018",51.393173,
"AUT","EDUTRY","25_34","PC_AGE","A","2004",30.473413,
"AUT","EDUTRY","25_34","PC_AGE","A","2005",30.570971,
"AUT","EDUTRY","25_34","PC_AGE","A","2006",31.518833,
"AUT","EDUTRY","25_34","PC_AGE","A","2007",31.065872,
"AUT","EDUTRY","25_34","PC_AGE","A","2008",32.680725,
"AUT","EDUTRY","25_34","PC_AGE","A","2009",33.408676,
"AUT","EDUTRY","25_34","PC_AGE","A","2010",33.863789,
"AUT","EDUTRY","25_34","PC_AGE","A","2011",34.808361,
"AUT","EDUTRY","25_34","PC_AGE","A","2012",36.127834,
"AUT","EDUTRY","25_34","PC_AGE","A","2013",38.666092,
"AUT","EDUTRY","25_34","PC_AGE","A","2014",38.403149,
"AUT","EDUTRY","25_34","PC_AGE","A","2015",38.626846,
"AUT","EDUTRY","25_34","PC_AGE","A","2016",39.671021,
"AUT","EDUTRY","25_34","PC_AGE","A","2017",40.324657,
"AUT","EDUTRY","25_34","PC_AGE","A","2018",40.458271,
"BEL","EDUTRY","25_34","PC_AGE","A","1991",26.816282,
"BEL","EDUTRY","25_34","PC_AGE","A","1992",27.192472,
"BEL","EDUTRY","25_34","PC_AGE","A","1994",30.033016,
"BEL","EDUTRY","25_34","PC_AGE","A","1995",32.941891,
"BEL","EDUTRY","25_34","PC_AGE","A","2000",36.020634,
"BEL","EDUTRY","25_34","PC_AGE","A","2001",37.506115,
"BEL","EDUTRY","25_34","PC_AGE","A","2002",37.643967,
"BEL","EDUTRY","25_34","PC_AGE","A","2003",38.910217,
"BEL","EDUTRY","25_34","PC_AGE","A","2004",40.730312,
"BEL","EDUTRY","25_34","PC_AGE","A","2005",40.605904,
"BEL","EDUTRY","25_34","PC_AGE","A","2006",41.863441,
"BEL","EDUTRY","25_34","PC_AGE","A","2007",41.339031,
"BEL","EDUTRY","25_34","PC_AGE","A","2008",42.271435,
"BEL","EDUTRY","25_34","PC_AGE","A","2009",42.484257,
"BEL","EDUTRY","25_34","PC_AGE","A","2010",43.801159,
"BEL","EDUTRY","25_34","PC_AGE","A","2011",42.455688,
"BEL","EDUTRY","25_34","PC_AGE","A","2012",42.989902,
"BEL","EDUTRY","25_34","PC_AGE","A","2013",42.663147,
"BEL","EDUTRY","25_34","PC_AGE","A","2014",44.239079,
"BEL","EDUTRY","25_34","PC_AGE","A","2015",43.144318,
"BEL","EDUTRY","25_34","PC_AGE","A","2016",44.311111,
"BEL","EDUTRY","25_34","PC_AGE","A","2017",45.725086,
"BEL","EDUTRY","25_34","PC_AGE","A","2018",47.397144,
"CAN","EDUTRY","25_34","PC_AGE","A","1990",31.989466,
"CAN","EDUTRY","25_34","PC_AGE","A","1991",32.07547,
"CAN","EDUTRY","25_34","PC_AGE","A","1992",33.21056,
"CAN","EDUTRY","25_34","PC_AGE","A","1993",34.487045,
"CAN","EDUTRY","25_34","PC_AGE","A","1994",38.123291,
"CAN","EDUTRY","25_34","PC_AGE","A","1995",40.448719,
"CAN","EDUTRY","25_34","PC_AGE","A","1996",42.239132,
"CAN","EDUTRY","25_34","PC_AGE","A","1997",44.168514,
"CAN","EDUTRY","25_34","PC_AGE","A","1998",45.555809,
"CAN","EDUTRY","25_34","PC_AGE","A","1999",46.988796,
"CAN","EDUTRY","25_34","PC_AGE","A","2000",48.400093,
"CAN","EDUTRY","25_34","PC_AGE","A","2001",50.856735,
"CAN","EDUTRY","25_34","PC_AGE","A","2002",51.629013,
"CAN","EDUTRY","25_34","PC_AGE","A","2003",53.179329,
"CAN","EDUTRY","25_34","PC_AGE","A","2004",53.197052,
"CAN","EDUTRY","25_34","PC_AGE","A","2005",53.694931,
"CAN","EDUTRY","25_34","PC_AGE","A","2006",54.622643,
"CAN","EDUTRY","25_34","PC_AGE","A","2007",55.674667,
"CAN","EDUTRY","25_34","PC_AGE","A","2008",55.619267,
"CAN","EDUTRY","25_34","PC_AGE","A","2009",55.780476,
"CAN","EDUTRY","25_34","PC_AGE","A","2010",56.169838,
"CAN","EDUTRY","25_34","PC_AGE","A","2011",56.40131,
"CAN","EDUTRY","25_34","PC_AGE","A","2012",57.056797,
"CAN","EDUTRY","25_34","PC_AGE","A","2013",57.603394,
"CAN","EDUTRY","25_34","PC_AGE","A","2014",57.725277,
"CAN","EDUTRY","25_34","PC_AGE","A","2015",59.182831,
"CAN","EDUTRY","25_34","PC_AGE","A","2016",60.582603,
"CAN","EDUTRY","25_34","PC_AGE","A","2017",60.916767,
"CAN","EDUTRY","25_34","PC_AGE","A","2018",61.754246,
"CZE","EDUTRY","25_34","PC_AGE","A","1994",12.470504,
"CZE","EDUTRY","25_34","PC_AGE","A","1995",11.801331,
"CZE","EDUTRY","25_34","PC_AGE","A","1997",10.855382,
"CZE","EDUTRY","25_34","PC_AGE","A","1998",10.455766,
"CZE","EDUTRY","25_34","PC_AGE","A","1999",10.941025,
"CZE","EDUTRY","25_34","PC_AGE","A","2000",11.199056,
"CZE","EDUTRY","25_34","PC_AGE","A","2001",11.27721,
"CZE","EDUTRY","25_34","PC_AGE","A","2002",12.26703,
"CZE","EDUTRY","25_34","PC_AGE","A","2003",12.051159,
"CZE","EDUTRY","25_34","PC_AGE","A","2004",12.978498,
"CZE","EDUTRY","25_34","PC_AGE","A","2005",14.231308,
"CZE","EDUTRY","25_34","PC_AGE","A","2006",15.246418,
"CZE","EDUTRY","25_34","PC_AGE","A","2007",15.472363,
"CZE","EDUTRY","25_34","PC_AGE","A","2008",17.674837,
"CZE","EDUTRY","25_34","PC_AGE","A","2009",20.240141,
"CZE","EDUTRY","25_34","PC_AGE","A","2010",22.630354,
"CZE","EDUTRY","25_34","PC_AGE","A","2011",25.124683,
"CZE","EDUTRY","25_34","PC_AGE","A","2012",27.832432,
"CZE","EDUTRY","25_34","PC_AGE","A","2013",29.195036,
"CZE","EDUTRY","25_34","PC_AGE","A","2014",29.88735,
"CZE","EDUTRY","25_34","PC_AGE","A","2015",31.010311,
