LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,HHDI,NET,AGRWTH,A,1970,5.301903942,
AUS,HHDI,NET,AGRWTH,A,1971,4.221819402,
AUS,HHDI,NET,AGRWTH,A,1972,7.143522065,
AUS,HHDI,NET,AGRWTH,A,1973,8.103560276,
AUS,HHDI,NET,AGRWTH,A,1974,4.279531014,
AUS,HHDI,NET,AGRWTH,A,1975,0.991333938,
AUS,HHDI,NET,AGRWTH,A,1976,3.219336945,
AUS,HHDI,NET,AGRWTH,A,1977,1.030623431,
AUS,HHDI,NET,AGRWTH,A,1978,3.29487556,
AUS,HHDI,NET,AGRWTH,A,1979,0.646679044,
AUS,HHDI,NET,AGRWTH,A,1980,3.614571104,
AUS,HHDI,NET,AGRWTH,A,1981,4.636848957,
AUS,HHDI,NET,AGRWTH,A,1982,-0.332056688,
AUS,HHDI,NET,AGRWTH,A,1983,3.684286284,
AUS,HHDI,NET,AGRWTH,A,1984,2.354386649,
AUS,HHDI,NET,AGRWTH,A,1985,3.11919236,
AUS,HHDI,NET,AGRWTH,A,1986,-0.546002526,
AUS,HHDI,NET,AGRWTH,A,1987,1.979263373,
AUS,HHDI,NET,AGRWTH,A,1988,5.147908173,
AUS,HHDI,NET,AGRWTH,A,1989,4.147613552,
AUS,HHDI,NET,AGRWTH,A,1990,0.722754844,
AUS,HHDI,NET,AGRWTH,A,1991,0.683594346,
AUS,HHDI,NET,AGRWTH,A,1992,1.923939109,
AUS,HHDI,NET,AGRWTH,A,1993,1.845477574,
AUS,HHDI,NET,AGRWTH,A,1994,3.785890023,
AUS,HHDI,NET,AGRWTH,A,1995,3.720377905,
AUS,HHDI,NET,AGRWTH,A,1996,3.983066131,
AUS,HHDI,NET,AGRWTH,A,1997,2.517080116,
AUS,HHDI,NET,AGRWTH,A,1998,4.026674807,
AUS,HHDI,NET,AGRWTH,A,1999,3.840950322,
AUS,HHDI,NET,AGRWTH,A,2000,3.766769286,
AUS,HHDI,NET,AGRWTH,A,2001,4.364738007,
AUS,HHDI,NET,AGRWTH,A,2002,0.020744074,
AUS,HHDI,NET,AGRWTH,A,2003,6.057189215,
AUS,HHDI,NET,AGRWTH,A,2004,5.526516444,
AUS,HHDI,NET,AGRWTH,A,2005,2.350808355,
AUS,HHDI,NET,AGRWTH,A,2006,5.164121802,
AUS,HHDI,NET,AGRWTH,A,2007,6.346342993,
AUS,HHDI,NET,AGRWTH,A,2008,7.246704785,
AUS,HHDI,NET,AGRWTH,A,2009,1.045632977,
AUS,HHDI,NET,AGRWTH,A,2010,5.550969315,
AUS,HHDI,NET,AGRWTH,A,2011,3.030991288,
AUS,HHDI,NET,AGRWTH,A,2012,0.33793795,
AUS,HHDI,NET,AGRWTH,A,2013,2.63363683,
AUS,HHDI,NET,AGRWTH,A,2014,2.620404645,
AUS,HHDI,NET,AGRWTH,A,2015,1.331200188,
AUS,HHDI,NET,AGRWTH,A,2016,2.061030402,
AUS,HHDI,NET,AGRWTH,A,2017,2.089534452,
AUS,HHDI,NET,AGRWTH,A,2018,1.981831789,
AUS,HHDI,NET,AGRWTH,A,2019,4.389411535,
AUT,HHDI,NET,AGRWTH,A,1996,-0.000735333,
AUT,HHDI,NET,AGRWTH,A,1997,-0.274992905,
AUT,HHDI,NET,AGRWTH,A,1998,2.959814021,
AUT,HHDI,NET,AGRWTH,A,1999,3.887888929,
AUT,HHDI,NET,AGRWTH,A,2000,1.523665945,
AUT,HHDI,NET,AGRWTH,A,2001,-0.439763065,
AUT,HHDI,NET,AGRWTH,A,2002,1.369142315,
AUT,HHDI,NET,AGRWTH,A,2003,1.937222304,
AUT,HHDI,NET,AGRWTH,A,2004,1.749310076,
AUT,HHDI,NET,AGRWTH,A,2005,3.834488707,
AUT,HHDI,NET,AGRWTH,A,2006,2.821900208,
AUT,HHDI,NET,AGRWTH,A,2007,2.377559797,
AUT,HHDI,NET,AGRWTH,A,2008,1.245429921,
AUT,HHDI,NET,AGRWTH,A,2009,-0.033916926,
AUT,HHDI,NET,AGRWTH,A,2010,-0.686218359,
AUT,HHDI,NET,AGRWTH,A,2011,-0.336051866,
AUT,HHDI,NET,AGRWTH,A,2012,1.395323829,
AUT,HHDI,NET,AGRWTH,A,2013,-1.384006127,
AUT,HHDI,NET,AGRWTH,A,2014,0.834532073,
AUT,HHDI,NET,AGRWTH,A,2015,-0.049756948,
AUT,HHDI,NET,AGRWTH,A,2016,2.596186085,
