LOCATION,INDICATOR,SUBJECT,MEASURE,TIME,Value
KOR,HHDI,NET,AGRWTH,1995,5.444250424
KOR,HHDI,NET,AGRWTH,1996,6.077501626
KOR,HHDI,NET,AGRWTH,1997,1.7441017490000001
KOR,HHDI,NET,AGRWTH,1998,-2.611124704
KOR,HHDI,NET,AGRWTH,1999,2.407781421
KOR,HHDI,NET,AGRWTH,2000,0.791673526
KOR,HHDI,NET,AGRWTH,2001,2.790018851
KOR,HHDI,NET,AGRWTH,2002,4.563779686
KOR,HHDI,NET,AGRWTH,2003,2.265848589
KOR,HHDI,NET,AGRWTH,2004,4.6894291610000005
KOR,HHDI,NET,AGRWTH,2005,2.320798244
KOR,HHDI,NET,AGRWTH,2006,3.774819571
KOR,HHDI,NET,AGRWTH,2007,4.712786197
KOR,HHDI,NET,AGRWTH,2008,2.175467009
KOR,HHDI,NET,AGRWTH,2009,1.640529453
KOR,HHDI,NET,AGRWTH,2010,4.192659918
KOR,HHDI,NET,AGRWTH,2011,2.256896121
KOR,HHDI,NET,AGRWTH,2012,2.483774112
KOR,HHDI,NET,AGRWTH,2013,4.053958032
KOR,HHDI,NET,AGRWTH,2014,3.5592371060000003
KOR,HHDI,NET,AGRWTH,2015,5.708392533
KOR,HHDI,NET,AGRWTH,2016,1.717186232
KOR,HHDI,NET,AGRWTH,2017,1.8168227540000002
KOR,HHDI,NET,AGRWTH,2018,3.386587743
KOR,HHDI,GROSSADJ,USD_CAP,1995,10662.15986
KOR,HHDI,GROSSADJ,USD_CAP,1996,11472.2627
KOR,HHDI,GROSSADJ,USD_CAP,1997,11771.41064
KOR,HHDI,GROSSADJ,USD_CAP,1998,11658.73604
KOR,HHDI,GROSSADJ,USD_CAP,1999,11982.712370000001
KOR,HHDI,GROSSADJ,USD_CAP,2000,12498.03306
KOR,HHDI,GROSSADJ,USD_CAP,2001,13026.50203
KOR,HHDI,GROSSADJ,USD_CAP,2002,13878.621969999998
KOR,HHDI,GROSSADJ,USD_CAP,2003,14252.56415
KOR,HHDI,GROSSADJ,USD_CAP,2004,15236.45433
KOR,HHDI,GROSSADJ,USD_CAP,2005,15814.99672
KOR,HHDI,GROSSADJ,USD_CAP,2006,16648.63278
KOR,HHDI,GROSSADJ,USD_CAP,2007,17801.689290000002
KOR,HHDI,GROSSADJ,USD_CAP,2008,18514.72667
KOR,HHDI,GROSSADJ,USD_CAP,2009,18664.51753
KOR,HHDI,GROSSADJ,USD_CAP,2010,19684.53744
KOR,HHDI,GROSSADJ,USD_CAP,2011,20438.86474
KOR,HHDI,GROSSADJ,USD_CAP,2012,21244.04125
KOR,HHDI,GROSSADJ,USD_CAP,2013,21573.31991
KOR,HHDI,GROSSADJ,USD_CAP,2014,21915.95578
KOR,HHDI,GROSSADJ,USD_CAP,2015,23958.296830000003
KOR,HHDI,GROSSADJ,USD_CAP,2016,24190.59773
KOR,HHDI,GROSSADJ,USD_CAP,2017,24484.53504
KOR,HHDI,GROSSADJ,USD_CAP,2018,25845.03538
