LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,HOUSECOST,NOMINAL,IDX2015,A,1990,22.93364407,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1991,23.52883521,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1992,23.88871823,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1993,24.51159268,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1994,25.38954905,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1995,25.69604283,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1996,25.90366764,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1997,26.94179173,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1998,28.92114832,
AUS,HOUSECOST,NOMINAL,IDX2015,A,1999,31.01914766,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2000,33.59567277,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2001,37.3685123,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2002,44.37238946,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2003,52.37565666,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2004,55.647,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2005,56.66475,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2006,60.5795,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2007,66.96025,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2008,69.60275,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2009,72.42125,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2010,80.877,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2011,79.13475,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2012,78.88025,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2013,84.1065,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2014,91.72025,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2015,100,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2016,105.5,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2017,114.30825,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2018,112.66375,
AUS,HOUSECOST,NOMINAL,IDX2015,A,2019,108.08375,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2000,58.58386076,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2001,59.08182358,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2002,59.41868078,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2003,59.57978639,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2004,58.43740111,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2005,61.35194818,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2006,63.87105419,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2007,66.85883109,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2008,67.57648339,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2009,70.21275712,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2010,76.7975,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2011,81.5975,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2012,87.57,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2013,92.1,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2014,95.33,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2015,100,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2016,108.5325,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2017,114.26,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2018,119.64,
AUT,HOUSECOST,NOMINAL,IDX2015,A,2019,126.6,
BEL,HOUSECOST,NOMINAL,IDX2015,A,1990,30.62635058,
BEL,HOUSECOST,NOMINAL,IDX2015,A,1991,31.92983325,
BEL,HOUSECOST,NOMINAL,IDX2015,A,1992,34.05714627,
BEL,HOUSECOST,NOMINAL,IDX2015,A,1993,35.86774228,
BEL,HOUSECOST,NOMINAL,IDX2015,A,1994,38.16531356,
BEL,HOUSECOST,NOMINAL,IDX2015,A,1995,39.88986508,
BEL,HOUSECOST,NOMINAL,IDX2015,A,1996,40.7558023,
BEL,HOUSECOST,NOMINAL,IDX2015,A,1997,41.73707577,
BEL,HOUSECOST,NOMINAL,IDX2015,A,1998,44.386148,
BEL,HOUSECOST,NOMINAL,IDX2015,A,1999,47.54050284,
BEL,HOUSECOST,NOMINAL,IDX2015,A,2000,50.11451497,
BEL,HOUSECOST,NOMINAL,IDX2015,A,2001,52.54206837,
BEL,HOUSECOST,NOMINAL,IDX2015,A,2002,55.90512689,
BEL,HOUSECOST,NOMINAL,IDX2015,A,2003,59.76065288,
BEL,HOUSECOST,NOMINAL,IDX2015,A,2004,64.95261476,
BEL,HOUSECOST,NOMINAL,IDX2015,A,2005,72.53625,
BEL,HOUSECOST,NOMINAL,IDX2015,A,2006,79.61525,
BEL,HOUSECOST,NOMINAL,IDX2015,A,2007,85.81875,
BEL,HOUSECOST,NOMINAL,IDX2015,A,2008,89.60525,
BEL,HOUSECOST,NOMINAL,IDX2015,A,2009,89.183,
BEL,HOUSECOST,NOMINAL,IDX2015,A,2010,91.9775,
BEL,HOUSECOST,NOMINAL,IDX2015,A,2011,95.67575,
BEL,HOUSECOST,NOMINAL,IDX2015,A,2012,97.8135,
BEL,HOUSECOST,NOMINAL,IDX2015,A,2013,98.962,
BEL,HOUSECOST,NOMINAL,IDX2015,A,2014,98.417,
BEL,HOUSECOST,NOMINAL,IDX2015,A,2015,100,
BEL,HOUSECOST,NOMINAL,IDX2015,A,2016,102.6405,
BEL,HOUSECOST,NOMINAL,IDX2015,A,2017,106.37275,
BEL,HOUSECOST,NOMINAL,IDX2015,A,2018,109.41525,
BEL,HOUSECOST,NOMINAL,IDX2015,A,2019,113.77875,
CAN,HOUSECOST,NOMINAL,IDX2015,A,1990,34.2707821,
CAN,HOUSECOST,NOMINAL,IDX2015,A,1991,35.77516893,
CAN,HOUSECOST,NOMINAL,IDX2015,A,1992,36.71497092,
CAN,HOUSECOST,NOMINAL,IDX2015,A,1993,37.51013922,
CAN,HOUSECOST,NOMINAL,IDX2015,A,1994,38.78208123,
CAN,HOUSECOST,NOMINAL,IDX2015,A,1995,36.97697249,
CAN,HOUSECOST,NOMINAL,IDX2015,A,1996,36.96754297,
CAN,HOUSECOST,NOMINAL,IDX2015,A,1997,37.88492684,
CAN,HOUSECOST,NOMINAL,IDX2015,A,1998,37.39418272,
CAN,HOUSECOST,NOMINAL,IDX2015,A,1999,38.42494461,
CAN,HOUSECOST,NOMINAL,IDX2015,A,2000,40.06742564,
CAN,HOUSECOST,NOMINAL,IDX2015,A,2001,41.96167384,
CAN,HOUSECOST,NOMINAL,IDX2015,A,2002,45.34398588,
CAN,HOUSECOST,NOMINAL,IDX2015,A,2003,49.12528893,
CAN,HOUSECOST,NOMINAL,IDX2015,A,2004,53.15883871,
CAN,HOUSECOST,NOMINAL,IDX2015,A,2005,57.40722979,
CAN,HOUSECOST,NOMINAL,IDX2015,A,2006,64.12245955,
CAN,HOUSECOST,NOMINAL,IDX2015,A,2007,71.53208713,
CAN,HOUSECOST,NOMINAL,IDX2015,A,2008,75.43711576,
CAN,HOUSECOST,NOMINAL,IDX2015,A,2009,73.33378092,
CAN,HOUSECOST,NOMINAL,IDX2015,A,2010,79.86294275,
CAN,HOUSECOST,NOMINAL,IDX2015,A,2011,83.82935461,
CAN,HOUSECOST,NOMINAL,IDX2015,A,2012,87.86434306,
CAN,HOUSECOST,NOMINAL,IDX2015,A,2013,90.12497243,
CAN,HOUSECOST,NOMINAL,IDX2015,A,2014,94.88409119,
CAN,HOUSECOST,NOMINAL,IDX2015,A,2015,100,
CAN,HOUSECOST,NOMINAL,IDX2015,A,2016,109.9479202,
CAN,HOUSECOST,NOMINAL,IDX2015,A,2017,123.2589701,
CAN,HOUSECOST,NOMINAL,IDX2015,A,2018,128.2430009,
CAN,HOUSECOST,NOMINAL,IDX2015,A,2019,129.7440127,
CZE,HOUSECOST,NOMINAL,IDX2015,A,2008,100.8,
CZE,HOUSECOST,NOMINAL,IDX2015,A,2009,96.925,
CZE,HOUSECOST,NOMINAL,IDX2015,A,2010,95.225,
CZE,HOUSECOST,NOMINAL,IDX2015,A,2011,95.25,
CZE,HOUSECOST,NOMINAL,IDX2015,A,2012,93.85,
CZE,HOUSECOST,NOMINAL,IDX2015,A,2013,93.875,
CZE,HOUSECOST,NOMINAL,IDX2015,A,2014,96.175,
CZE,HOUSECOST,NOMINAL,IDX2015,A,2015,100,
CZE,HOUSECOST,NOMINAL,IDX2015,A,2016,107.15,
CZE,HOUSECOST,NOMINAL,IDX2015,A,2017,119.7,
CZE,HOUSECOST,NOMINAL,IDX2015,A,2018,130,
CZE,HOUSECOST,NOMINAL,IDX2015,A,2019,141.9,
DNK,HOUSECOST,NOMINAL,IDX2015,A,1990,29.67696787,
DNK,HOUSECOST,NOMINAL,IDX2015,A,1991,30.06210516,
DNK,HOUSECOST,NOMINAL,IDX2015,A,1992,29.57474007,
DNK,HOUSECOST,NOMINAL,IDX2015,A,1993,29.28945319,
DNK,HOUSECOST,NOMINAL,IDX2015,A,1994,32.87931312,
DNK,HOUSECOST,NOMINAL,IDX2015,A,1995,35.37557334,
DNK,HOUSECOST,NOMINAL,IDX2015,A,1996,39.15562452,
DNK,HOUSECOST,NOMINAL,IDX2015,A,1997,43.67266681,
DNK,HOUSECOST,NOMINAL,IDX2015,A,1998,47.59536144,
DNK,HOUSECOST,NOMINAL,IDX2015,A,1999,50.80483886,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2000,54.1094119,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2001,57.27134151,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2002,59.3396714,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2003,62.29090573,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2004,69.11742279,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2005,82.97095743,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2006,102.9257573,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2007,105.6767642,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2008,100.2002505,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2009,88.19722049,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2010,90.67297668,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2011,89.12222281,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2012,86.74696687,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2013,90.09772524,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2014,93.49873375,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2015,100,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2016,104.7265118,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2017,109.3777734,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2018,114.5287863,
DNK,HOUSECOST,NOMINAL,IDX2015,A,2019,117.5297938,
FIN,HOUSECOST,NOMINAL,IDX2015,A,1990,57.27125159,
FIN,HOUSECOST,NOMINAL,IDX2015,A,1991,50.44609204,
FIN,HOUSECOST,NOMINAL,IDX2015,A,1992,43.13153152,
FIN,HOUSECOST,NOMINAL,IDX2015,A,1993,38.75148727,
FIN,HOUSECOST,NOMINAL,IDX2015,A,1994,40.32361704,
FIN,HOUSECOST,NOMINAL,IDX2015,A,1995,39.59046037,
